UF,Mesorregião Geográfica,CD_Mun,Cidade,Zona,SELL OUT ANUAL,SELL OUT MÊS,POTENCIAL ANUAL,POTENCIAL MÊS,POPULAÇÃO ,PDV,%SHARE,Share_Calculado
PE,Mata Pernambucana,2611507,Quipapá,Região Metroplitana Oeste,6990,582.5,15132.0,1261.0,17731,17.731,0.4619349722442506,46.19349722442506
PE,Sertão Pernambucano,2611533,Quixaba,Zona Serra Talhada,1566,130.5,15406.5,1283.875,6753,6.753,0.1016454094051212,10.164540940512122
PE,Metropolitana de Recife,2611606,Recife,Zona Recife,303756,25313.0,5244477.0,437039.75,1588376,1588.376,0.0579192167302859,5.791921673028598
PE,Agreste Pernambucano,2611705,Riacho das Almas,Caruaru Norte,4794,399.5,34684.5,2890.375,21490,21.49,0.138217359339186,13.821735933918609
PE,Mata Pernambucana,2611804,Ribeirão,Região Metroplitana Oeste,12504,1042.0,53625.0,4468.75,33843,33.843,0.2331748251748251,23.317482517482517
PE,Mata Pernambucana,2611903,Rio Formoso,Região Metroplitana Oeste,2568,214.0,24778.5,2064.875,20388,20.388,0.1036382347599733,10.363823475997336
PE,Agreste Pernambucano,2612000,Sairé,Zona Garanhus,504,42.0,13246.5,1103.875,11213,11.213,0.0380477862076775,3.80477862076775
PE,Agreste Pernambucano,2612109,Salgadinho,Região Metroplitana Norte,294,24.5,5205.0,433.75,5478,5.478,0.0564841498559077,5.648414985590778
PE,Sertão Pernambucano,2612208,Salgueiro,Zona Araripina,18168,1514.0,137323.5,11443.625,65946,65.946,0.1323007351254519,13.230073512545196
PE,Agreste Pernambucano,2612307,Saloá,Zona Garanhus,936,78.0,15876.0,1323.0,14125,14.125,0.0589569160997732,5.895691609977324
PE,Agreste Pernambucano,2612406,Sanharó,Zona Arcoverde,1230,102.5,26050.5,2170.875,18812,18.812,0.0472159843381125,4.721598433811251
PE,Sertão Pernambucano,2612455,Santa Cruz,Zona Araripina,1524,127.0,15880.5,1323.375,14342,14.342,0.0959667516765844,9.596675167658448
PE,Sertão Pernambucano,2612471,Santa Cruz da Baixa Verde,Zona Serra Talhada,5628,469.0,20538.0,1711.5,11934,11.934,0.2740286298568507,27.402862985685072
PE,Agreste Pernambucano,2612505,Santa Cruz do Capibaribe,Caruaru Norte,36906,3075.5,254919.0,21243.25,104854,104.854,0.1447753992444659,14.477539924446589
PE,Sertão Pernambucano,2612554,Santa Filomena,Zona Araripina,0,0.0,13039.5,1086.625,12360,12.36,0.0,0.0
PE,São Francisco Pernambucano,2612604,Santa Maria da Boa Vista,Zona Petrolina,4056,338.0,51688.5,4307.375,42782,42.782,0.0784700658753881,7.847006587538814
PE,Agreste Pernambucano,2612703,Santa Maria do Cambucá,Caruaru Norte,4086,340.5,19321.5,1610.125,14586,14.586,0.2114742644204642,21.147426442046424
PE,Sertão Pernambucano,2612802,Santa Terezinha,Zona Serra Talhada,3594,299.5,13678.5,1139.875,10487,10.487,0.2627481083452133,26.27481083452133
PE,Mata Pernambucana,2612901,São Benedito do Sul,Região Metroplitana Oeste,324,27.0,7560.0,630.0,13456,13.456,0.0428571428571428,4.285714285714286
PE,Agreste Pernambucano,2613008,São Bento do Una,Zona Arcoverde,27906,2325.5,74253.0,6187.75,51165,51.165,0.3758231990626641,37.58231990626641
PE,Agreste Pernambucano,2613107,São Caitano,Zona Arcoverde,7200,600.0,58587.0,4882.25,39243,39.243,0.1228941574069332,12.289415740693329
PE,Agreste Pernambucano,2613206,São João,Zona Garanhus,1890,157.5,24877.5,2073.125,24895,24.895,0.0759722640940609,7.5972264094060895
PE,Agreste Pernambucano,2613305,São Joaquim do Monte,Zona Garanhus,648,54.0,21265.5,1772.125,20438,20.438,0.030471891091204,3.0471891091204064
PE,Mata Pernambucana,2613404,São José da Coroa Grande,Região Metroplitana Oeste,2664,222.0,19639.5,1636.625,19511,19.511,0.1356450011456503,13.564500114565034
PE,Sertão Pernambucano,2613503,São José do Belmonte,Zona Serra Talhada,3354,279.5,51187.5,4265.625,36890,36.89,0.0655238095238095,6.552380952380952
PE,Sertão Pernambucano,2613602,São José do Egito,Zona Serra Talhada,9180,765.0,70714.5,5892.875,32508,32.508,0.1298177884309441,12.981778843094416
PE,Metropolitana de Recife,2613701,São Lourenço da Mata,Região Metroplitana Litoral,24852,2071.0,193600.5,16133.375,118258,118.258,0.1283674370675695,12.836743706756955
PE,Agreste Pernambucano,2613800,São Vicente Ferrer,Região Metroplitana Norte,7146,595.5,23310.0,1942.5,17177,17.177,0.3065637065637066,30.656370656370658
PE,Sertão Pernambucano,2613909,Serra Talhada,Zona Serra Talhada,36342,3028.5,202033.5,16836.125,98816,98.816,0.1798810593292696,17.988105932926963
PE,Sertão Pernambucano,2614006,Serrita,Zona Araripina,144,12.0,17329.5,1444.125,18764,18.764,0.0083095299922098,0.8309529992209815
